"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C5";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C6";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"D1";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"DIO-08053";
"D2";"MBR0520LT";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";
"IC2";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";
"JP1";"6 PIN 90degree Header";"M06SIP";"1X06";"Header 6";"";
"JP2";"FTDI Basic";"ARDUINO_SERIAL_PROGRAMPTH";"1X06";"";"";
"JP3";"12V Battery Connection";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"CONN-08352";
"JP4";"PWM Motor Connection";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"CONN-08352";
"LED1";"LED-TRICOLOR";"LED-TRICOLOR";"LED-TRICOLOR-SMD";"Tri-Color LED SMD";"";
"LED2";"LED-TRICOLOR";"LED-TRICOLOR";"LED-TRICOLOR-SMD";"Tri-Color LED SMD";"";
"LED3";"LED-TRICOLOR";"LED-TRICOLOR";"LED-TRICOLOR-SMD";"Tri-Color LED SMD";"";
"LED4";"Red";"LED0603";"LED-0603";"LEDs";"";
"Q1";"16MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"Q3";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"Q4";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"Q5";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"Q6";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"R1";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"50";"RESISTOR0805-RES";"0805";"Resistor";"";
"R4";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R5";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R6";"50";"RESISTOR0805-RES";"0805";"Resistor";"";
"R7";"50";"RESISTOR0805-RES";"0805";"Resistor";"";
"R8";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R9";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R10";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R11";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R12";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"S1";"Button";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";
"U$3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$11";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U1";"ATMEGA328";"ATMEGA168";"TQFP32-08";"";"";
